student_key,year,student_code,display_name,grade,school,target_school,live_or_replay,old_new,signup_date,signup_lateness,n_subjects,subject_ids,same_person_key
uuid-2569-2042,2569,2042,น้องปราง 2042,ม.2,อื่นๆ,TU,สด,old,2026-04-13,1,4,1;4;5;6,
uuid-2569-2043,2569,2043,น้องต้นน้ำ 2043,ม.3,หาดใหญ่วิทยาลัย,KVIS,สด,old,2026-04-23,1,4,1;4;5;6,
uuid-2569-2044,2569,2044,น้องอิง 2044,ม.3,อื่นๆ,TU,สด,old,2026-03-06,0,4,1;4;5;6,
uuid-2569-2045,2569,2045,น้องกันต์ 2045,ม.1,อื่นๆ,MWIT,สด,new,2026-04-18,1,4,1;4;5;6,
uuid-2569-2046,2569,2046,น้องกันต์ 2046,ม.3,อื่นๆ,อื่นๆ,เทป,old,2026-04-18,1,4,1;4;5;6,
uuid-2569-2047,2569,2047,น้องเฟิร์น 2047,ม.2,อื่นๆ,KVIS,สด,new,2026-03-17,0,4,1;4;5;6,
uuid-2569-2048,2569,2048,น้องโอม 2048,ม.2,สาธิตปทุมวัน,KVIS,สด,new,2026-03-14,0,4,1;4;5;6,
uuid-2569-2049,2569,2049,น้องพลอย 2049,ม.3,อื่นๆ,KVIS,สด,new,2026-03-03,0,4,1;4;5;6,
uuid-2569-2050,2569,2050,น้องปราง 2050,ม.2,บดินทรเดชา,TU,สด,old,2026-04-05,1,4,1;4;5;6,
uuid-2569-2051,2569,2051,น้องภีม 2051,ม.3,หาดใหญ่วิทยาลัย,TU,สด,old,2026-05-04,2,4,1;4;5;6,
uuid-2569-2052,2569,2052,น้องมายด์ 2052,ม.3,อื่นๆ,TU,สด,new,2026-04-10,1,2,1;5,
uuid-2569-2053,2569,2053,น้องแพรวา 2053,ม.3,สาธิตปทุมวัน,TU,สด,old,2026-03-11,0,4,1;4;5;6,
uuid-2569-2054,2569,2054,น้องน้ำหวาน 2054,ม.2,บดินทรเดชา,KVIS,สด,new,2026-03-12,0,4,1;4;5;6,
uuid-2569-2055,2569,2055,น้องภูมิ 2055,ม.2,อื่นๆ,อื่นๆ,สด,new,2026-03-05,0,4,1;4;5;6,
uuid-2569-2056,2569,2056,น้องโอม 2056,ม.2,อื่นๆ,TU,สด,new,2026-06-19,3,4,1;4;5;6,
uuid-2569-2057,2569,2057,น้องแพรวา 2057,ม.3,สวนกุหลาบ,TU,สด,new,2026-05-14,2,4,1;4;5;6,
uuid-2569-2058,2569,2058,น้องไอซ์ 2058,ม.1,อื่นๆ,อื่นๆ,สด,new,2026-04-06,1,4,1;4;5;6,
uuid-2569-2059,2569,2059,น้องภีม 2059,ม.2,บดินทรเดชา,MWIT,สด,old,2026-03-19,0,2,5;6,
uuid-2569-2060,2569,2060,น้องเฟิร์น 2060,ม.2,สวนกุหลาบ,TU,เทป,new,2026-03-07,0,4,1;4;5;6,
uuid-2569-2061,2569,2061,น้องแพรวา 2061,ม.3,อื่นๆ,TU,เทป,new,2026-03-12,0,4,1;4;5;6,
uuid-2569-2062,2569,2062,น้องเจได 2062,ม.3,อื่นๆ,TU,สด,old,2026-03-02,0,3,4;5;6,
uuid-2569-2063,2569,2063,น้องพลอย 2063,ม.3,อื่นๆ,TU,เทป,new,2026-03-15,0,4,1;4;5;6,
uuid-2569-2064,2569,2064,น้องภีม 2064,ม.2,อื่นๆ,TU,สด,old,2026-04-07,1,4,1;4;5;6,
uuid-2569-2065,2569,2065,น้องแพรวา 2065,ม.1,บดินทรเดชา,TU,เทป,new,2026-03-15,0,3,4;5;6,
uuid-2569-2066,2569,2066,น้องต้นน้ำ 2066,ม.1,บดินทรเดชา,TU,เทป,old,2026-05-20,2,4,1;4;5;6,
uuid-2569-2067,2569,2067,น้องโอม 2067,ม.3,หาดใหญ่วิทยาลัย,TU,สด,new,2026-03-22,0,3,1;4;6,
uuid-2569-2068,2569,2068,น้องเจได 2068,ม.3,อื่นๆ,MWIT,สด,new,2026-03-08,0,4,1;4;5;6,
uuid-2569-2069,2569,2069,น้องต้นน้ำ 2069,ม.1,สวนกุหลาบ,TU,สด,new,2026-05-13,2,2,4;6,
uuid-2569-2070,2569,2070,น้องพลอย 2070,ม.3,อื่นๆ,TU,สด,new,2026-03-07,0,4,1;4;5;6,
uuid-2569-2071,2569,2071,น้องน้ำหวาน 2071,ม.3,อื่นๆ,MWIT,สด,old,2026-03-09,0,4,1;4;5;6,
uuid-2569-2072,2569,2072,น้องอิง 2072,ม.2,สวนกุหลาบ,TU,สด,new,2026-03-25,0,2,1;5,
uuid-2569-2073,2569,2073,น้องเจได 2073,ม.2,อื่นๆ,TU,สด,new,2026-04-02,1,4,1;4;5;6,
uuid-2569-2074,2569,2074,น้องเจได 2074,ม.3,สาธิตปทุมวัน,TU,สด,new,2026-03-10,0,2,1;4,
uuid-2569-2075,2569,2075,น้องกันต์ 2075,ม.2,อื่นๆ,TU,สด,new,2026-03-10,0,4,1;4;5;6,
uuid-2569-2076,2569,2076,น้องต้นน้ำ 2076,ม.3,อื่นๆ,TU,สด,new,2026-03-05,0,4,1;4;5;6,
uuid-2569-2077,2569,2077,น้องไอซ์ 2077,ม.3,อื่นๆ,MWIT,สด,new,2026-03-12,0,4,1;4;5;6,
uuid-2569-2078,2569,2078,น้องเฟิร์น 2078,ม.3,สาธิตปทุมวัน,MWIT,สด,new,2026-03-01,0,4,1;4;5;6,
uuid-2569-2079,2569,2079,น้องพลอย 2079,ม.1,อื่นๆ,TU,สด,new,2026-03-01,0,4,1;4;5;6,
uuid-2569-2080,2569,2080,น้องพลอย 2080,ม.2,อื่นๆ,อื่นๆ,สด,new,2026-03-06,0,4,1;4;5;6,
uuid-2569-2081,2569,2081,น้องอิง 2081,ม.3,อื่นๆ,MWIT,สด,new,2026-03-12,0,4,1;4;5;6,
uuid-2569-2082,2569,2082,น้องพลอย 2082,ม.3,อื่นๆ,TU,สด,new,2026-03-02,0,2,4;6,
uuid-2569-2083,2569,2083,น้องมายด์ 2083,ม.3,อื่นๆ,TU,เทป,new,2026-03-01,0,4,1;4;5;6,
uuid-2569-2084,2569,2084,น้องต้นน้ำ 2084,ม.2,หาดใหญ่วิทยาลัย,TU,สด,old,2026-03-24,0,4,1;4;5;6,
uuid-2569-2085,2569,2085,น้องต้นน้ำ 2085,ม.2,สวนกุหลาบ,TU,สด,new,2026-03-19,0,4,1;4;5;6,
uuid-2569-2086,2569,2086,น้องกันต์ 2086,ม.2,อื่นๆ,KVIS,เทป,new,2026-03-21,0,4,1;4;5;6,
uuid-2569-2087,2569,2087,น้องพลอย 2087,ม.2,หาดใหญ่วิทยาลัย,MWIT,สด,new,2026-03-03,0,4,1;4;5;6,
uuid-2569-2088,2569,2088,น้องเฟิร์น 2088,ม.1,อื่นๆ,TU,สด,new,2026-03-21,0,2,5;6,
uuid-2569-2089,2569,2089,น้องเจได 2089,ม.1,บดินทรเดชา,TU,สด,new,2026-03-05,0,2,1;6,
uuid-2569-2090,2569,2090,น้องคุน 2090,ม.3,บดินทรเดชา,MWIT,สด,new,2026-03-09,0,4,1;4;5;6,
uuid-2569-2091,2569,2091,น้องมายด์ 2091,ม.3,อื่นๆ,MWIT,สด,new,2026-03-20,0,2,1;5,
uuid-2569-2092,2569,2092,น้องน้ำหวาน 2092,ม.3,อื่นๆ,TU,สด,new,2026-04-02,1,4,1;4;5;6,
uuid-2569-2093,2569,2093,น้องพลอย 2093,ม.1,อื่นๆ,TU,สด,new,2026-03-09,0,3,1;4;6,
uuid-2569-2094,2569,2094,น้องเจได 2094,ม.2,สาธิตปทุมวัน,TU,สด,new,2026-04-22,1,4,1;4;5;6,
uuid-2569-2095,2569,2095,น้องกันต์ 2095,ม.2,อื่นๆ,KVIS,เทป,old,2026-03-12,0,2,1;5,
uuid-2569-2096,2569,2096,น้องกันต์ 2096,ม.2,บดินทรเดชา,TU,สด,new,2026-03-18,0,2,5;6,
uuid-2569-2097,2569,2097,น้องกันต์ 2097,ม.3,สาธิตปทุมวัน,อื่นๆ,สด,new,2026-03-08,0,3,1;4;6,
uuid-2569-2098,2569,2098,น้องมายด์ 2098,ม.1,อื่นๆ,MWIT,เทป,old,2026-03-11,0,4,1;4;5;6,
uuid-2569-2099,2569,2099,น้องพลอย 2099,ม.2,อื่นๆ,KVIS,สด,new,2026-03-03,0,4,1;4;5;6,
uuid-2569-2100,2569,2100,น้องโอม 2100,ม.3,สวนกุหลาบ,TU,สด,old,2026-05-01,2,4,1;4;5;6,
uuid-2569-2101,2569,2101,น้องมายด์ 2101,ม.3,บดินทรเดชา,TU,สด,new,2026-03-14,0,2,4;6,
uuid-2569-2102,2569,2102,น้องโอม 2102,ม.1,บดินทรเดชา,MWIT,เทป,old,2026-03-12,0,2,1;6,
uuid-2569-2103,2569,2103,น้องไทเกอร์ 2103,ม.3,อื่นๆ,อื่นๆ,สด,new,2026-03-07,0,4,1;4;5;6,
uuid-2569-2104,2569,2104,น้องพลอย 2104,ม.2,สวนกุหลาบ,KVIS,สด,old,2026-03-10,0,4,1;4;5;6,
uuid-2569-2105,2569,2105,น้องคุน 2105,ม.2,อื่นๆ,TU,เทป,old,2026-03-01,0,4,1;4;5;6,
uuid-2569-2106,2569,2106,น้องภูมิ 2106,ม.2,บดินทรเดชา,KVIS,เทป,new,2026-03-10,0,4,1;4;5;6,
uuid-2569-2107,2569,2107,น้องภีม 2107,ม.2,สวนกุหลาบ,MWIT,เทป,new,2026-05-14,2,4,1;4;5;6,
uuid-2569-2108,2569,2108,น้องภูมิ 2108,ม.2,สาธิตปทุมวัน,TU,เทป,new,2026-03-14,0,4,1;4;5;6,
uuid-2569-2109,2569,2109,น้องอิง 2109,ม.2,อื่นๆ,KVIS,เทป,new,2026-03-25,0,4,1;4;5;6,
uuid-2569-2110,2569,2110,น้องภูมิ 2110,ม.3,หาดใหญ่วิทยาลัย,อื่นๆ,สด,new,2026-03-19,0,4,1;4;5;6,
uuid-2569-2111,2569,2111,น้องไอซ์ 2111,ม.2,อื่นๆ,MWIT,สด,new,2026-03-08,0,4,1;4;5;6,
uuid-2569-2112,2569,2112,น้องภูมิ 2112,ม.3,หาดใหญ่วิทยาลัย,อื่นๆ,สด,new,2026-03-03,0,4,1;4;5;6,
uuid-2569-2113,2569,2113,น้องเจได 2113,ม.2,อื่นๆ,TU,เทป,new,2026-03-05,0,3,4;5;6,
uuid-2569-2114,2569,2114,น้องภูมิ 2114,ม.2,สาธิตปทุมวัน,TU,สด,new,2026-03-18,0,4,1;4;5;6,
uuid-2569-2115,2569,2115,น้องเฟิร์น 2115,ม.3,อื่นๆ,MWIT,เทป,new,2026-03-20,0,4,1;4;5;6,
uuid-2569-2116,2569,2116,น้องอิง 2116,ม.2,อื่นๆ,TU,สด,old,2026-04-22,1,4,1;4;5;6,
uuid-2569-2117,2569,2117,น้องเฟิร์น 2117,ม.2,หาดใหญ่วิทยาลัย,อื่นๆ,สด,new,2026-04-19,1,3,1;4;6,
uuid-2569-2118,2569,2118,น้องไทเกอร์ 2118,ม.2,อื่นๆ,KVIS,เทป,new,2026-03-11,0,3,1;4;6,
uuid-2569-2119,2569,2119,น้องภูมิ 2119,ม.2,อื่นๆ,MWIT,สด,new,2026-03-25,0,4,1;4;5;6,
uuid-2569-2120,2569,2120,น้องแพรวา 2120,ม.3,อื่นๆ,TU,สด,new,2026-03-19,0,4,1;4;5;6,
uuid-2569-2121,2569,2121,น้องต้นน้ำ 2121,ม.3,อื่นๆ,MWIT,สด,new,2026-04-07,1,4,1;4;5;6,
uuid-2569-2122,2569,2122,น้องเฟิร์น 2122,ม.2,หาดใหญ่วิทยาลัย,TU,สด,old,2026-03-11,0,4,1;4;5;6,
uuid-2569-2123,2569,2123,น้องแพรวา 2123,ม.1,อื่นๆ,อื่นๆ,สด,new,2026-03-06,0,4,1;4;5;6,
uuid-2569-2124,2569,2124,น้องอิง 2124,ม.2,อื่นๆ,TU,สด,new,2026-03-20,0,4,1;4;5;6,
uuid-2569-2125,2569,2125,น้องกันต์ 2125,ม.2,หาดใหญ่วิทยาลัย,TU,สด,old,2026-03-10,0,4,1;4;5;6,
uuid-2569-2126,2569,2126,น้องปราง 2126,ม.3,สาธิตปทุมวัน,MWIT,เทป,new,2026-03-10,0,4,1;4;5;6,
uuid-2569-2127,2569,2127,น้องพลอย 2127,ม.2,หาดใหญ่วิทยาลัย,TU,สด,new,2026-06-17,3,4,1;4;5;6,
uuid-2569-2128,2569,2128,น้องมายด์ 2128,ม.3,อื่นๆ,MWIT,สด,new,2026-05-22,2,3,1;4;5,
uuid-2569-2129,2569,2129,น้องมายด์ 2129,ม.1,บดินทรเดชา,อื่นๆ,สด,new,2026-04-10,1,3,1;4;5,
uuid-2569-2130,2569,2130,น้องคุน 2130,ม.2,บดินทรเดชา,TU,สด,new,2026-04-09,1,4,1;4;5;6,
uuid-2569-2131,2569,2131,น้องเจได 2131,ม.3,สาธิตปทุมวัน,MWIT,สด,new,2026-03-14,0,3,1;5;6,
uuid-2569-2132,2569,2132,น้องภีม 2132,ม.1,สวนกุหลาบ,MWIT,สด,old,2026-03-10,0,2,1;4,
uuid-2569-2133,2569,2133,น้องมายด์ 2133,ม.3,บดินทรเดชา,KVIS,สด,new,2026-03-23,0,4,1;4;5;6,
uuid-2569-2134,2569,2134,น้องอิง 2134,ม.2,อื่นๆ,TU,สด,new,2026-03-12,0,2,1;6,
uuid-2569-2135,2569,2135,น้องไอซ์ 2135,ม.2,หาดใหญ่วิทยาลัย,TU,เทป,new,2026-03-18,0,4,1;4;5;6,
uuid-2569-2136,2569,2136,น้องภูมิ 2136,ม.3,สาธิตปทุมวัน,KVIS,เทป,new,2026-03-07,0,4,1;4;5;6,
uuid-2569-2137,2569,2137,น้องต้นน้ำ 2137,ม.3,บดินทรเดชา,MWIT,สด,new,2026-03-21,0,4,1;4;5;6,
uuid-2569-2138,2569,2138,น้องไทเกอร์ 2138,ม.3,บดินทรเดชา,TU,เทป,new,2026-03-06,0,4,1;4;5;6,
uuid-2569-2139,2569,2139,น้องไอซ์ 2139,ม.1,อื่นๆ,อื่นๆ,เทป,new,2026-04-01,1,3,1;4;6,
uuid-2569-2140,2569,2140,น้องปราง 2140,ม.3,บดินทรเดชา,TU,สด,new,2026-03-10,0,2,4;5,
uuid-2569-2141,2569,2141,น้องปราง 2141,ม.2,บดินทรเดชา,MWIT,สด,new,2026-04-14,1,4,1;4;5;6,
uuid-2569-2142,2569,2142,น้องภูมิ 2142,ม.2,อื่นๆ,TU,เทป,new,2026-06-05,3,4,1;4;5;6,
uuid-2569-2143,2569,2143,น้องภีม 2143,ม.2,สวนกุหลาบ,MWIT,สด,new,2026-03-12,0,2,1;4,
uuid-2569-2144,2569,2144,น้องอิง 2144,ม.3,อื่นๆ,TU,สด,new,2026-04-11,1,3,4;5;6,
uuid-2569-2145,2569,2145,น้องปราง 2145,ม.1,อื่นๆ,KVIS,เทป,new,2026-03-06,0,4,1;4;5;6,
uuid-2569-2146,2569,2146,น้องโอม 2146,ม.2,อื่นๆ,TU,สด,new,2026-03-21,0,3,4;5;6,
uuid-2569-2147,2569,2147,น้องเจได 2147,ม.2,อื่นๆ,KVIS,เทป,new,2026-05-20,2,4,1;4;5;6,
uuid-2569-2148,2569,2148,น้องไอซ์ 2148,ม.3,อื่นๆ,TU,เทป,old,2026-04-19,1,4,1;4;5;6,
uuid-2569-2149,2569,2149,น้องภูมิ 2149,ม.3,อื่นๆ,MWIT,สด,old,2026-03-12,0,2,1;6,
uuid-2569-2150,2569,2150,น้องพลอย 2150,ม.3,อื่นๆ,MWIT,สด,new,2026-04-25,1,4,1;4;5;6,
